,,,,,,,,,,,,,,,,,,,,,,,,,,
自動,自動,買受・委託,自動,,手動,自動,,手動,,,,,自動,売却,自動,ebay,自動,,,,,,,,,手動
2026/4/24,20260123_machida_ph_04_4,,ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,"¥11,000 ",,,,,,,2026/5/5,売却,"₱7,234.00",shopee,ORDER0137,フィリピン,buyer_0089,買主サンプル0145,City0145,Region0145,Postal0145,Address line 1 sample 0145,Address line 2 sample 0145,
,20260429_machida_ph_05,,,"[Direct From Japan] Holy Stone Drone with Camera – Outdoor, Compact, Child-Friendly, Foldable, 1080p Camera, 3 Batteries, 36-Minute Flight Time, Storage Case Included, Optical Flow Mode, Trajectory Flight, Gesture Control, 2.4GHz, Mode 1/2 Switchable, Bir",1,仕入れ無,,,,,,,2026/5/5,売却,"₱5,792.00",shopee,ORDER0138,フィリピン,buyer_0089,買主サンプル0146,City0146,Region0146,Postal0146,Address line 1 sample 0146,Address line 2 sample 0146,
2026/5/5,20260430_ishida_ph_01,,模型,[BANDAI]GODZIBURST Rodan (1993) & Mazer Unit,1,¥691 ,Amazon,,,,,,2026/5/5,売却,₱502.00,shopee,ORDER0139,フィリピン,buyer_0089,買主サンプル0147,City0147,Region0147,Postal0147,Address line 1 sample 0147,Address line 2 sample 0147,
2026/5/5,20260302_ishida_ph_02_3,,フィギュア,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,1,"¥7,100 ",駿河屋,,,,,,2026/5/5,売却,"₱4,336.00",shopee,ORDER0140,フィリピン,buyer_0089,買主サンプル0148,City0148,Region0148,Postal0148,Address line 1 sample 0148,Address line 2 sample 0148,
2026/5/6,20260318_machida_ph_01_6,,ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],1,"¥8,143 ",楽天市場（Joshin）,,,,,,2026/5/5,売却,"₱6,528.00",shopee,ORDER0141,フィリピン,buyer_0089,買主サンプル0149,City0149,Region0149,Postal0149,Address line 1 sample 0149,Address line 2 sample 0149,
2026/5/6,20260423_machida_ph_03,,ラジコン,[Direct From Japan] Kyosho Egg Mario Kart Racing Kart R/C Bowser TV035,1,"¥4,652 ",Amazon,,,,,,2026/5/5,売却,"₱3,145.00",shopee,ORDER0142,フィリピン,buyer_0089,買主サンプル0150,City0150,Region0150,Postal0150,Address line 1 sample 0150,Address line 2 sample 0150,
2026/5/6,20260219_machida_sg_06_2,,腕時計,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,1,"¥6,930 ",楽天市場（楽天ビッグ）,,,,,,2026/5/5,売却,SDG87.24,shopee,ORDER0143,シンガポール,buyer_0089,買主サンプル0151,City0151,Region0151,Postal0151,Address line 1 sample 0151,Address line 2 sample 0151,
,20260422_ishida_ph_01_2,,,[BANDAI]GODZIBURST Godzilla(1954),1,仕入れ無,,,,,,,2026/5/6,売却,₱502.00,shopee,ORDER0144,フィリピン,buyer_0089,買主サンプル0152,City0152,Region0152,Postal0152,Address line 1 sample 0152,Address line 2 sample 0152,
2026/5/6,20260316_machida_ph_02,,プラモデル,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,1,"¥11,000 ",Amazon,,,,,,2026/5/6,売却,"₱6,302.00",shopee,ORDER0145,フィリピン,buyer_0089,買主サンプル0153,City0153,Region0153,Postal0153,Address line 1 sample 0153,Address line 2 sample 0153,
2026/5/6,20260428_machida_ph_04_2,,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,1,"¥13,380 ",Joshin（A）,,,,,,2026/5/6,売却,"₱7,987.00",shopee,ORDER0146,フィリピン,buyer_0089,買主サンプル0154,City0154,Region0154,Postal0154,Address line 1 sample 0154,Address line 2 sample 0154,
2026/5/7,20260123_machida_ph_04_5,,ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,"¥11,000 ",Joshin（A）,,,,,,2026/5/6,売却,"₱7,234.00",shopee,ORDER0147,フィリピン,buyer_0089,買主サンプル0155,City0155,Region0155,Postal0155,Address line 1 sample 0155,Address line 2 sample 0155,
2026/5/7,20260407_mizushima_ph_03,,プラモデル,BANDAI SPIRITS MG 1/100 Gouf Ver.2.0 [Clear Color] Gundam Base Event Limited Mobile Suit Gundam Pre-colored Plastic Model Kit,1,"¥6,936 ",Amazon,,,,,,2026/5/6,売却,"₱4,069.00",shopee,ORDER0148,フィリピン,buyer_0089,買主サンプル0156,City0156,Region0156,Postal0156,Address line 1 sample 0156,Address line 2 sample 0156,
,20260408_machida_ph_08,,,TAMASHII NATIONS S.H.Figuarts Star Wars Episode III: Revenge of the Sith Yoda -Classic Ver.- (STAR ​​WARS: Revenge of the Sith),1,仕入れ無,,,,,,,2026/5/6,売却,"₱4,968.00",shopee,ORDER0149,フィリピン,buyer_0089,買主サンプル0157,City0157,Region0157,Postal0157,Address line 1 sample 0157,Address line 2 sample 0157,
2026/5/7,20260413_machida_ph_01_2,,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,1,"¥11,000 ",,,,,,,2026/5/6,売却,"₱6,794.00",shopee,ORDER0150,フィリピン,buyer_0089,買主サンプル0158,City0158,Region0158,Postal0158,Address line 1 sample 0158,Address line 2 sample 0158,
2026/5/7,20260303_ishida_ph_01,,フィギュア,GOOD SMILE COMPANY Nendoroid Goddess of Victory NIKKE Modernia Non-Scale Plastic Painted Movable Figure,1,"¥5,556 ",Amazon,,,,,,2026/5/6,売却,"₱2,955.00",shopee,ORDER0151,フィリピン,buyer_0089,買主サンプル0159,City0159,Region0159,Postal0159,Address line 1 sample 0159,Address line 2 sample 0159,
2026/4/27,20260410_miyawaki_ph_01_9,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,"¥7,450 ",yahooフリマ,,,,,,2026/5/6,売却,"₱4,988.00",shopee,ORDER0152,フィリピン,buyer_0089,買主サンプル0160,City0160,Region0160,Postal0160,Address line 1 sample 0160,Address line 2 sample 0160,
2026/5/7,20260428_machida_ph_04_3,,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,1,"¥13,600 ",楽天市場,,,,,,2026/5/7,売却,"₱7,987.00",shopee,ORDER0153,フィリピン,buyer_0089,買主サンプル0161,City0161,Region0161,Postal0161,Address line 1 sample 0161,Address line 2 sample 0161,
2026/5/8,20260422_mizushima_ph_01,,腕時計,[Casio] G-SHOCK GD-010BEG-1JF Watch [Authentic Japanese Product] Made with eco-friendly materials Men's Black,1,"¥11,880 ",Amazon,,,,,,2026/5/7,売却,"₱6,318.00",shopee,ORDER0154,フィリピン,buyer_0089,買主サンプル0162,City0162,Region0162,Postal0162,Address line 1 sample 0162,Address line 2 sample 0162,
2026/5/8,20260220_machida_ph_06,,,Shimano (SHIMANO) Baitcasting Reel Dual Axis 20 Thoreum 2000HG,1,"¥20,745 ",Amazon,,,,,,2026/5/7,売却,"₱10,325.00",shopee,ORDER0155,フィリピン,buyer_0089,買主サンプル0163,City0163,Region0163,Postal0163,Address line 1 sample 0163,Address line 2 sample 0163,
2026/5/8,20260415_miyawaki_ph_03_8,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,400 ",yahooフリマ,,,,,,2026/5/7,売却,"₱4,732.00",shopee,ORDER0156,フィリピン,buyer_0089,買主サンプル0164,City0164,Region0164,Postal0164,Address line 1 sample 0164,Address line 2 sample 0164,
,20260115_machida_sg_02,,,Kyocera Diamond Electric Roll Knife Sharpener,1,仕入れ無,,,,,,,2026/5/8,売却,SDG60.63,shopee,ORDER0157,シンガポール,buyer_0089,買主サンプル0165,City0165,Region0165,Postal0165,Address line 1 sample 0165,Address line 2 sample 0165,
, 20260305_ishida_ph_05,,,Nendoroid Character Vocal Series 02 Kagamine Rin & Len Kagamine Len 2.0 Non-scale Plastic Painted Action Figure,1,,,,,,,,2026/5/8,売却,"₱3,258.00",shopee,ORDER0158,フィリピン,buyer_0089,買主サンプル0166,City0166,Region0166,Postal0166,Address line 1 sample 0166,Address line 2 sample 0166,
2026/5/12,20260428_miyawaki_ph_01_3,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,1,"¥9,900 ",メルカリ,,,,,,2026/5/8,売却,"₱6,433.00",shopee,ORDER0159,フィリピン,buyer_0089,買主サンプル0167,City0167,Region0167,Postal0167,Address line 1 sample 0167,Address line 2 sample 0167,
,20260430_machida_ph_14,,, [Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,1,,,,,,,,2026/5/8,売却,"₱2,773.00",shopee,ORDER0160,フィリピン,buyer_0089,買主サンプル0168,City0168,Region0168,Postal0168,Address line 1 sample 0168,Address line 2 sample 0168,
2026/5/12,20260115_machida_sg_02,,日用雑貨,Kyocera Diamond Electric Roll Knife Sharpener,1,"¥4,514 ",Amazon,,,,,,2026/5/9,売却,SGD60.63,shopee,ORDER0161,シンガポール,buyer_0089,買主サンプル0169,City0169,Region0169,Postal0169,Address line 1 sample 0169,Address line 2 sample 0169,
2026/5/11,20260428_mizushima_ph_06,,模型,Fujimi Models 1/12 NEXT Series No. 1101 Honda Super Cub 50 Type Hello Kitty 12NX-1101,1,"¥2,973 ",Amazon,,,,,,2026/5/9,売却,"₱2,114.00",shopee,ORDER0162,フィリピン,buyer_0089,買主サンプル0170,City0170,Region0170,Postal0170,Address line 1 sample 0170,Address line 2 sample 0170,
2026/5/11,20260422_ishida_ph_02_2,,模型,[BANDAI]GODZIBURST Godzilla(2004),1,¥691 ,Amazon,,,,,,2026/5/9,売却,₱492.00,shopee,ORDER0163,フィリピン,buyer_0089,買主サンプル0171,City0171,Region0171,Postal0171,Address line 1 sample 0171,Address line 2 sample 0171,
,20260430_machida_ph_14,,,[Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,1,,,,,,,,2026/5/9,売却,"₱2,773.00",shopee,ORDER0164,フィリピン,buyer_0089,買主サンプル0172,City0172,Region0172,Postal0172,Address line 1 sample 0172,Address line 2 sample 0172,
,20260430_machida_ph_01,,,[Direct From Japan] Barbie Basic You Create Kit 1 YOU CREATE BARBIE BASICS™ Neutral Kit 001 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX35,1,,,,,,,,2026/5/9,売却,"₱5,567.00",shopee,ORDER0164,フィリピン,buyer_0089,買主サンプル0173,City0173,Region0173,Postal0173,Address line 1 sample 0173,Address line 2 sample 0173,
2026/5/12,20260410_miyawaki_ph_01_9,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,"¥7,000 ",メルカリ,,,,,,2026/5/9,売却,"₱4,988.00",shopee,ORDER0165,フィリピン,buyer_0089,買主サンプル0174,City0174,Region0174,Postal0174,Address line 1 sample 0174,Address line 2 sample 0174,
2026/5/11,20260430_machida_ph_04,,ホビー,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,1,"¥9,900 ",Amazon,,,,,,2026/5/9,売却,"₱4,317.00",shopee,ORDER0166,フィリピン,buyer_0089,買主サンプル0175,City0175,Region0175,Postal0175,Address line 1 sample 0175,Address line 2 sample 0175,
2026/5/11, 20260430_machida_ph_03,,ホビー,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,1,"¥9,900 ",Amazon,,,,,,2026/5/9,売却,"₱4,312.00",shopee,ORDER0167,フィリピン,buyer_0089,買主サンプル0176,City0176,Region0176,Postal0176,Address line 1 sample 0176,Address line 2 sample 0176,
,20260430_miyawaki_ph_01,,,Ichiban Kuji JoJo's Bizarre Adventure The Gathering of STARS Last One Prize Johnny Joestar & Gyro Zeppeli MASTERLISE PLUS Figure,1,,,,,,,,2026/5/10,売却,"₱8,969.00",shopee,ORDER0168,フィリピン,buyer_0089,買主サンプル0177,City0177,Region0177,Postal0177,Address line 1 sample 0177,Address line 2 sample 0177,
2026/5/11,20260507_ishida_ph_01,,ホビー,[HASBRO] Star Wars The Child Animatronic Edition Motorized Mandalorian Toy with Over 25 Combinations of Sounds and Movements | F1119,1,"¥11,800 ",Amazon,,,,,,2026/5/10,売却,"₱4,451.00",shopee,ORDER0169,フィリピン,buyer_0089,買主サンプル0178,City0178,Region0178,Postal0178,Address line 1 sample 0178,Address line 2 sample 0178,
2026/5/11,20260423_machida_ph_05,,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 391 Hot Shot 2007 Off-Road 58391,1,"¥30,660 ",Amazon,,,,,,2026/5/10,売却,"₱10,626.00",shopee,ORDER0170,フィリピン,buyer_0089,買主サンプル0179,City0179,Region0179,Postal0179,Address line 1 sample 0179,Address line 2 sample 0179,
2026/5/12,20260413_ishida_ph_01_2,,フィギュア,[Good Smile Company] Nendoroid Teto Kasane 2.0+Special Base Included,1,"¥10,900 ",yahooフリマ,,,,,,2026/5/10,売却,"₱4,545.00",shopee,ORDER0171,フィリピン,buyer_0089,買主サンプル0180,City0180,Region0180,Postal0180,Address line 1 sample 0180,Address line 2 sample 0180,
2026/5/12,20260415_miyawaki_ph_03_9,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥4,876 ",yahooフリマ,,,,,,2026/5/11,売却,"₱4,732.00",shopee,ORDER0172,フィリピン,buyer_0089,買主サンプル0181,City0181,Region0181,Postal0181,Address line 1 sample 0181,Address line 2 sample 0181,
2026/5/11,20260424_mizushima_ph_05,,生活家電,"SALONIA Cordless Straightener 12mm Hair Straightener with Built-in Power Bank, Lightweight, Ideal for Bangs, Model SAL25119PK, Pink",1,"￥6,578",Amazon,,,,,,2026/5/11,売却,"₱3,272.00",shopee,ORDER0173,フィリピン,buyer_0089,買主サンプル0182,City0182,Region0182,Postal0182,Address line 1 sample 0182,Address line 2 sample 0182,
2026/5/11,20260316_machida_ph_03_2,,プラモデル,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,1,"¥7,255 ",Amazon,,,,,,2026/5/11,売却,"₱4,394.00",shopee,ORDER0174,フィリピン,buyer_0089,買主サンプル0183,City0183,Region0183,Postal0183,Address line 1 sample 0183,Address line 2 sample 0183,
2026/5/11,20260407_mizushima_ph_06,,プラモデル,BANDAI SPIRITS MG 1/100 Gundam Epyon EW [CROSS CONTRAST COLORS / CLEAR WHITE] Gundam Base Event Limited Edition Pre-colored Plastic Model Kit,1,"¥11,600 ",Amazon,,,,,,2026/5/11,売却,"₱6,736.00",shopee,ORDER0175,フィリピン,buyer_0089,買主サンプル0184,City0184,Region0184,Postal0184,Address line 1 sample 0184,Address line 2 sample 0184,
,20260420_ishida_ph_06_2,,,Nendoroid Blue Archive Ajitani Hifumi Non-scale Plastic Painted Movable Figure,1,,,,,,,,2026/5/12,売却,"₱2,794.00",shopee,ORDER0176,フィリピン,buyer_0089,買主サンプル0185,City0185,Region0185,Postal0185,Address line 1 sample 0185,Address line 2 sample 0185,
2026/5/12,20260319_machida_ph_03,,ラジコン,Tamiya 1/10 Electric RC Car Series No.719 BBX BB-01 Chassis 58719,1,"¥29,733 ",Amazon,,,,,,2026/5/12,売却,"₱15,933.00",shopee,ORDER0177,フィリピン,buyer_0089,買主サンプル0186,City0186,Region0186,Postal0186,Address line 1 sample 0186,Address line 2 sample 0186,
,20260420_mizushima_ph_07_2,,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),1,,,,,,,,2026/5/12,売却,"₱7,689.00",shopee,ORDER0178,フィリピン,buyer_0089,買主サンプル0187,City0187,Region0187,Postal0187,Address line 1 sample 0187,Address line 2 sample 0187,
2026/5/13,20260410_miyawaki_ph_01_10,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,"¥6,900 ",メルカリ,,,,,,2026/5/12,売却,"₱4,988.00",shopee,ORDER0179,フィリピン,buyer_0089,買主サンプル0188,City0188,Region0188,Postal0188,Address line 1 sample 0188,Address line 2 sample 0188,
2026/5/13,20260428_miyawaki_ph_01_4,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,1,"¥9,888 ",メルカリ,,,,,,2026/5/12,売却,"₱6,433.00",shopee,ORDER0179,フィリピン,buyer_0089,買主サンプル0189,City0189,Region0189,Postal0189,Address line 1 sample 0189,Address line 2 sample 0189,
2026/5/13,20260415_miyawaki_ph_03_10,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,000 ",yahooフリマ,,,,,,2026/5/13,売却,"₱4,732.00",shopee,ORDER0180,フィリピン,buyer_0089,買主サンプル0190,City0190,Region0190,Postal0190,Address line 1 sample 0190,Address line 2 sample 0190,
2026/5/13,20260421_miyawaki_ph_01,,フィギュア,"MIC DiGiSM One and Only ""SLAM DUNK"" SHOHOKU STARTING MEMBER SET",1,"¥23,484 ",yahooショッピング,,,,,,2026/5/13,売却,"₱14,233.00",shopee,ORDER0181,フィリピン,buyer_0089,買主サンプル0191,City0191,Region0191,Postal0191,Address line 1 sample 0191,Address line 2 sample 0191,
2026/5/14,20260407_miyawaki_ph_03,,フィギュア,Good Smile Arts Shanghai POP UP PARADE K-ON! Nakano Azusa L size Figure,1,"¥5,900 ",Amazon,,,,,,2026/5/13,売却,"₱3,539.00",shopee,ORDER0182,フィリピン,buyer_0089,買主サンプル0192,City0192,Region0192,Postal0192,Address line 1 sample 0192,Address line 2 sample 0192,
2026/5/14,20260410_miyawaki_ph_01_11,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,"¥6,999 ",メルカリ,,,,,,2026/5/13,売却,"₱4,988.00",shopee,ORDER0183,フィリピン,buyer_0089,買主サンプル0193,City0193,Region0193,Postal0193,Address line 1 sample 0193,Address line 2 sample 0193,
2026/5/14,20260430_machida_ph_03_2,,ホビー,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,1,"¥9,900 ",Amazon,,,,,,2026/5/13,売却,"₱4,312.00",shopee,ORDER0184,フィリピン,buyer_0089,買主サンプル0194,City0194,Region0194,Postal0194,Address line 1 sample 0194,Address line 2 sample 0194,
2026/5/14,20260430_machida_ph_04_2,,ホビー,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,1,"¥9,900 ",Amazon,,,,,,2026/5/13,売却,"₱4,317.00",shopee,ORDER0185,フィリピン,buyer_0089,買主サンプル0195,City0195,Region0195,Postal0195,Address line 1 sample 0195,Address line 2 sample 0195,
,20260420_mizushima_ph_07_2,,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),1,仕入れ無,,,,,,,2026/5/13,売却,"₱7,689.00",shopee,ORDER0186,フィリピン,buyer_0089,買主サンプル0196,City0196,Region0196,Postal0196,Address line 1 sample 0196,Address line 2 sample 0196,
2026/5/14,20260417_miyawaki_ph_04_6,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,"¥11,100 ",yahooフリマ,,,,,,2026/5/14,売却,"₱8,569.00",shopee,ORDER0187,フィリピン,buyer_0089,買主サンプル0197,City0197,Region0197,Postal0197,Address line 1 sample 0197,Address line 2 sample 0197,
2026/5/14,20260415_miyawaki_ph_03_11,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,150 ",yahooフリマ,,,,,,2026/5/14,売却,"₱4,732.00",shopee,ORDER0187,フィリピン,buyer_0089,買主サンプル0198,City0198,Region0198,Postal0198,Address line 1 sample 0198,Address line 2 sample 0198,
,20260428_miyawaki_ph_01_5,,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,1,仕入れ無,,,,,,,2026/5/14,売却,"₱6,433.00",shopee,ORDER0188,フィリピン,buyer_0089,買主サンプル0199,City0199,Region0199,Postal0199,Address line 1 sample 0199,Address line 2 sample 0199,
2026/5/14,20260429_miyawaki_ph_01,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize D: Koenma MASTERLISE Figure,1,"¥4,799 ",メルカリ,,,,,,2026/5/14,売却,"₱3,917.00",shopee,ORDER0189,フィリピン,buyer_0089,買主サンプル0200,City0200,Region0200,Postal0200,Address line 1 sample 0200,Address line 2 sample 0200,
2026/5/14,20260428_miyawaki_ph_01_5,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,1,"¥9,999 ",メルカリ,,,,,,2026/5/14,売却,"₱6,433.00",shopee,ORDER0189,フィリピン,buyer_0089,買主サンプル0201,City0201,Region0201,Postal0201,Address line 1 sample 0201,Address line 2 sample 0201,
2026/5/14,20260429_miyawaki_ph_02,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize E Genkai MASTERLISE EMOVING Figure,1,"¥4,799 ",メルカリ,,,,,,2026/5/14,売却,"₱3,759.00",shopee,ORDER0189,フィリピン,buyer_0089,買主サンプル0202,City0202,Region0202,Postal0202,Address line 1 sample 0202,Address line 2 sample 0202,
2026/5/14,20260420_mizushima_ph_09_2,,プラモデル,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),1,"¥10,300 ",Amazon,,,,,,2026/5/14,売却,"₱6,209.00",shopee,ORDER0190,フィリピン,buyer_0089,買主サンプル0203,City0203,Region0203,Postal0203,Address line 1 sample 0203,Address line 2 sample 0203,
2026/5/14,20260415_miyawaki_ph_02,,フィギュア,Final Fantasy VII Remake Adorable Arts <Aerith Gainsborough> Figure,1,"¥7,366 ",Amazon,,,,,,2026/5/14,売却,"₱4,104.00",shopee,ORDER0191,フィリピン,buyer_0089,買主サンプル0204,City0204,Region0204,Postal0204,Address line 1 sample 0204,Address line 2 sample 0204,
2026/5/15,20260413_machida_ph_04,,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 415 RCC Toyota Tundra High Lift Off-Road 58415,1,"¥37,000 ",Joshin,,,,,,2026/5/14,売却,"₱19,949.00",shopee,ORDER0192,フィリピン,buyer_0089,買主サンプル0205,City0205,Region0205,Postal0205,Address line 1 sample 0205,Address line 2 sample 0205,
2026/5/15,20260318_machida_ph_04,,ラジコン,Tamiya 1/10 Electric RC Car Series No.583 Egress (2013) Off-road 58583 [New] [Authentic] [Shipped from Japan],1,"¥46,340 ",Joshin,,,,,,2026/5/14,売却,"₱24,199.00",shopee,ORDER0193,フィリピン,buyer_0089,買主サンプル0206,City0206,Region0206,Postal0206,Address line 1 sample 0206,Address line 2 sample 0206,
2026/5/15,20260320_machida_ph_08,,ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.741 Fighter Nexgen (DT-04 Chassis) Electric Radio Control 58741,1,"¥15,480 ",Amazon,,,,,,2026/5/14,売却,"₱9,071.00",shopee,ORDER0194,フィリピン,buyer_0089,買主サンプル0207,City0207,Region0207,Postal0207,Address line 1 sample 0207,Address line 2 sample 0207,
,20260423_ishida_ph_05_2,,,[BANDAI]GODZIBURST Mechagodzilla (1993),1,仕入れ無,,,,,,,2026/5/14,売却,₱513.00,shopee,ORDER0195,フィリピン,buyer_0089,買主サンプル0208,City0208,Region0208,Postal0208,Address line 1 sample 0208,Address line 2 sample 0208,
,20260413_miyawaki_ph_01,,,Yu Yu Hakusho Figure: Youko Kurama (Dark Tournament),1,仕入れ無,,,,,,,2026/5/14,売却,"₱1,436.00",shopee,ORDER0196,フィリピン,buyer_0089,買主サンプル0209,City0209,Region0209,Postal0209,Address line 1 sample 0209,Address line 2 sample 0209,
,20260415_miyawaki_ph_03_12,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,,,,,,,,2026/5/15,売却,"₱4,732.00",shopee,ORDER0197,フィリピン,buyer_0089,買主サンプル0210,City0210,Region0210,Postal0210,Address line 1 sample 0210,Address line 2 sample 0210,
,20260410_miyawaki_ph_01_12,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,,,,,,,,2026/5/15,売却,"₱4,988.00",shopee,ORDER0198,フィリピン,buyer_0089,買主サンプル0211,City0211,Region0211,Postal0211,Address line 1 sample 0211,Address line 2 sample 0211,
,20260507_mizushima_ph_02,,,[Gundam Base Exclusive] MG 1/100 Gundam Base Exclusive RX-78-2 Gundam Ver.3.0 [Clear Color] Mobile Suit Gundam (Bandai Spirits),1,仕入れ無,,,,,,,2026/5/15,売却,"₱5,032.00",shopee,ORDER0199,フィリピン,buyer_0089,買主サンプル0212,City0212,Region0212,Postal0212,Address line 1 sample 0212,Address line 2 sample 0212,
2026/5/15,20260324_machida_ph_04_2,,ラジコン,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,1,"¥15,462 ",Amazon,,,,,,2026/5/15,売却,"₱9,236.00",shopee,ORDER0200,フィリピン,buyer_0089,買主サンプル0213,City0213,Region0213,Postal0213,Address line 1 sample 0213,Address line 2 sample 0213,
2026/5/15,20260423_ishida_ph_05_2,,ホビー,[BANDAI]GODZIBURST Mechagodzilla (1993),1,¥710 ,Amazon,,,,,,2026/5/15,売却,₱513.00,shopee,ORDER0201,フィリピン,buyer_0089,買主サンプル0214,City0214,Region0214,Postal0214,Address line 1 sample 0214,Address line 2 sample 0214,
2026/5/18,20260417_miyawaki_ph_04_7,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,"¥11,499 ",メルカリ,,,,,,2026/5/15,売却,"₱8,569.00",shopee,ORDER0202,フィリピン,buyer_0089,買主サンプル0215,City0215,Region0215,Postal0215,Address line 1 sample 0215,Address line 2 sample 0215,
2026/5/18,20260219_machida_sg_06_3,,腕時計,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,1,"¥6,930 ",Amazon,,,,,,2026/5/15,売却,SDG89.55,shopee,ORDER0203,シンガポール,buyer_0089,買主サンプル0216,City0216,Region0216,Postal0216,Address line 1 sample 0216,Address line 2 sample 0216,
